OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
2018-01-01,2016-12-13,SO61285-2018,529,24505,1,2,7
2018-01-01,2016-09-24,SO61285-2018,214,24981,1,3,6
2018-01-01,2016-09-04,SO61285-2018,540,24029,1,1,5
2018-01-01,2016-09-28,SO61301-2018,529,17082,1,2,6
2018-01-01,2016-10-21,SO61301-2018,377,17250,1,1,3
2018-01-01,2016-10-23,SO61301-2018,540,17585,1,3,2
2018-01-01,2016-09-04,SO61269-2018,215,12028,4,1,4
2018-01-01,2016-10-21,SO61269-2018,229,12264,4,2,6
2018-01-01,2016-10-24,SO61286-2018,528,11876,6,2,6
2018-01-01,2016-09-27,SO61286-2018,536,11876,6,1,3
2018-01-01,2016-10-23,SO61298-2018,530,18882,10,1,7
2018-01-01,2016-12-02,SO61298-2018,214,18882,10,3,5
2018-01-01,2016-12-15,SO61298-2018,223,19063,10,2,2
2018-01-01,2016-10-01,SO61310-2018,538,14219,8,2,4
2018-01-01,2016-11-08,SO61310-2018,584,14219,8,1,3
2018-01-01,2016-12-06,SO61270-2018,485,18625,9,1,3
2018-01-01,2016-10-31,SO61289-2018,528,24879,1,1,3
2018-01-01,2016-11-16,SO61289-2018,536,24879,1,2,4
2018-01-01,2016-11-20,SO61289-2018,215,24168,1,3,4
2018-01-01,2016-10-12,SO61278-2018,477,23424,10,3,6
2018-01-01,2016-09-28,SO61278-2018,479,23424,10,2,3
2018-01-01,2016-12-10,SO61278-2018,488,22755,10,4,4
2018-01-01,2016-09-25,SO61278-2018,580,22532,10,1,4
2018-01-01,2016-10-01,SO61305-2018,583,20641,9,1,4
2018-01-01,2016-09-13,SO61283-2018,529,26799,1,2,7
2018-01-01,2016-09-27,SO61283-2018,538,27324,1,1,3
2018-01-01,2016-09-03,SO61283-2018,220,26799,1,3,5
2018-01-01,2016-11-23,SO61288-2018,528,20498,6,1,7
2018-01-01,2016-10-30,SO61288-2018,536,19907,6,2,4
2018-01-01,2016-11-21,SO61288-2018,220,20695,6,3,4
2018-01-01,2016-11-05,SO61272-2018,480,21664,9,2,6
2018-01-01,2016-09-08,SO61272-2018,528,22301,9,1,3
2018-01-01,2016-11-16,SO61276-2018,223,17425,9,2,6
2018-01-01,2016-10-31,SO61276-2018,488,17598,9,1,2
2018-01-01,2016-10-21,SO61294-2018,477,18266,4,1,3
2018-01-01,2016-10-21,SO61294-2018,484,18092,4,2,3
2018-01-01,2016-09-08,SO61274-2018,223,28234,9,1,8
2018-01-01,2016-10-08,SO61274-2018,475,28234,9,2,3
2018-01-01,2016-11-03,SO61307-2018,215,20666,9,2,5
2018-01-01,2016-10-06,SO61307-2018,582,20666,9,1,6
2018-01-01,2016-11-06,SO61279-2018,485,12988,10,2,6
2018-01-01,2016-12-14,SO61279-2018,362,13245,10,1,6
2018-01-01,2016-11-13,SO61271-2018,538,21477,9,1,4
2018-01-01,2016-09-23,SO61271-2018,480,21273,9,2,2
2018-01-01,2016-09-15,SO61295-2018,480,15489,1,2,3
2018-01-01,2016-12-03,SO61295-2018,528,15047,1,1,3
2018-01-01,2016-12-07,SO61284-2018,480,28302,4,2,6
2018-01-01,2016-11-01,SO61284-2018,538,28302,4,1,3
2018-01-01,2016-11-02,SO61290-2018,478,24162,4,1,5
2018-01-01,2016-11-26,SO61290-2018,477,23242,4,2,5
