Category_ID,Category_Name,Purpose,ShortCode_Cate
Cate01,Sách dạy học - Business,Phát hành nội bộ,BusAca
Cate02,Tài liệu nghiên cứu - Business,Cho phép bán,BusExm
Cate03,Sách dạy học - IT,Phát hành nội bộ,ITsAca
Cate04,Tài liệu nghiên cứu - IT,Cho phép bán,ITsExm
Cate05,Sách dạy học - IT Infras,Phát hành nội bộ,ITFAca
Cate06,Tài liệu nghiên cứu - IT Infras,Cho phép bán,ITFExm
Cate07,Sách dạy học - IT Data Science,Phát hành nội bộ,IDSAca
Cate08,Tài liệu nghiên cứu - IT Data Science,Phát hành nội bộ,IDSExm
Cate09,Bộ đề tự luyện - IT Data Science,Cho phép bán,IDSDoc
Cate10,Tài liệu tự học - IT Data Science,Cho phép bán,IDSPra
Cate11,Sách kỹ năng,Cho phép bán,SKIDoc
Cate12,Sách công trình nghiên cứu,Cho phép bán,STUDoc
