Product_id,Product_Name,Category_ID,Quantity,Product_UnitCost,Product_UnitPrice,Product_UnitRental,Shelves_ID
PROD01,IDSDocD01,Cate09,298,272899.1304,363865.75,26370,Shel05
PROD02,IDSDocD02,Cate09,821,244202.6087,325603.5,23597,Shel011
PROD03,BusExmD03,Cate02,251,660926.087,881235,63864,Shel07
PROD04,IDSExmD04,Cate08,435,98289.56522,131053,9498,Shel02
PROD05,ITFAcaD05,Cate05,687,5273.043478,7030.75,510,Shel02
PROD06,BusAcaD06,Cate01,224,523146.9565,697529.5,50551,Shel04
PROD07,BusAcaD07,Cate01,957,113274.7826,151033.25,10946,Shel02
PROD08,IDSDocD08,Cate09,226,193359.1304,257812.25,18684,Shel012
PROD09,ITsAcaD09,Cate03,320,218423.4783,291231.5,21106,Shel01
PROD10,IDSAca010,Cate07,423,218193.0435,290924.25,21084,Shel02
PROD11,ITFExm011,Cate06,843,557789.5652,743719.5,53899,Shel06
PROD12,ITFExm012,Cate06,643,271761.7391,362349,26260,Shel08
PROD13,ITsAca013,Cate03,526,60738.26087,80984.5,5870,Shel013
PROD14,ITsExm014,Cate04,921,256034.7826,341379.75,24741,Shel013
PROD15,ITsAca015,Cate03,358,174029.5652,232039.5,16817,Shel011
PROD16,ITsAca016,Cate03,732,366296.5217,488395.5,35395,Shel06
PROD17,IDSDoc017,Cate09,75,24945.21739,33260.5,2411,Shel02
PROD18,ITFAca018,Cate05,31,574810.4348,766414,55543,Shel010
PROD19,ITFExm019,Cate06,881,164078.2609,218771.25,15855,Shel03
PROD20,ITFAca020,Cate05,327,282229.5652,376306.25,27272,Shel011
PROD21,ITsExm021,Cate04,130,500323.4783,667098,48346,Shel013
PROD22,IDSDoc022,Cate09,971,342077.3913,456103.25,33055,Shel03
PROD23,BusAca023,Cate01,666,495399.1304,660532.25,47870,Shel07
PROD24,ITFExm024,Cate06,42,37136.52174,49515.5,3589,Shel011
PROD25,IDSDoc025,Cate09,38,454686.087,606248.25,43936,Shel011
PROD26,BusAca026,Cate01,204,698705.2174,931607,67515,Shel05
PROD27,ITFExm027,Cate06,32,456349.5652,608466.25,44097,Shel012
PROD28,ITsExm028,Cate04,772,704145.2174,938860.5,68041,Shel08
PROD29,IDSAca029,Cate07,124,464631.3043,619508.5,44897,Shel08
PROD30,IDSDoc030,Cate09,200,16577.3913,22103.25,1602,Shel08
PROD31,ITFExm031,Cate06,603,172258.2609,229677.75,16645,Shel013
PROD32,ITsAca032,Cate03,595,86557.3913,115410,8364,Shel011
PROD33,IDSAca033,Cate07,272,510798.2609,681064.5,49358,Shel07
PROD34,ITFAca034,Cate05,617,624348.6957,832465,60330,Shel09
PROD35,ITFExm035,Cate06,560,352240.8696,469654.5,34037,Shel012
PROD36,ITsExm036,Cate04,258,326259.1304,435012.25,31526,Shel03
PROD37,ITsExm037,Cate04,467,706589.5652,942119.5,68277,Shel05
PROD38,ITFExm038,Cate06,984,151956.5217,202608.75,14684,Shel07
PROD39,BusAca039,Cate01,49,663861.7391,885149,64148,Shel06
PROD40,ITFAca040,Cate05,735,314879.1304,419839,30427,Shel01
PROD41,BusExm041,Cate02,446,378213.913,504285.25,36547,Shel013
PROD42,BusAca042,Cate01,453,147673.0435,196897.5,14270,Shel010
PROD43,ITFAca043,Cate05,66,356760.8696,475681.25,34474,Shel010
PROD44,IDSAca044,Cate07,852,678973.0435,905297.5,65608,Shel012
PROD45,IDSExm045,Cate08,924,238263.4783,317684.75,23023,Shel07
PROD46,IDSAca046,Cate07,36,671145.2174,894860.5,64852,Shel02
PROD47,IDSDoc047,Cate09,72,659713.913,879618.75,63747,Shel010
PROD48,IDSDoc048,Cate09,158,112860,150480,10906,Shel01
PROD49,IDSAca049,Cate07,108,560559.1304,747412.25,54166,Shel07
PROD50,ITsAca050,Cate03,86,79658.26087,106211.25,7698,Shel05
