Rent_Date,Rent_Number,Product_ID,Library_Card_Number,Credit_Rent,Return_Date,Order_Quantity
2025-08-02,Rent01,PROD43,STC59,59,2018-07-27,6
2025-10-30,Rent02,PROD39,STC18,18,2025-01-26,2
2018-06-28,Rent03,PROD29,STC32,32,2024-10-12,6
2021-10-18,Rent04,PROD38,STC24,24,2025-10-08,2
2024-01-01,Rent05,PROD40,STC93,93,2025-09-27,1
2019-09-05,Rent06,PROD22,STC25,25,2025-11-14,2
2024-10-21,Rent07,PROD46,STC96,96,2026-03-30,2
2022-10-27,Rent08,PROD50,STC40,40,2024-09-13,20
2021-02-27,Rent09,PROD44,STC67,67,2026-01-04,7
2025-12-19,Rent10,PROD28,STC80,80,2025-02-17,13
2024-09-06,Rent11,PROD20,STC63,63,2026-04-19,8
2020-10-15,Rent12,PROD46,STC59,59,2024-10-07,5
2019-01-14,Rent13,PROD28,STC74,74,2025-01-02,1
2025-02-07,Rent14,PROD48,STC73,73,2025-10-07,12
2017-02-28,Rent15,PROD43,STC55,55,2024-10-28,1
2020-01-08,Rent16,PROD39,STC82,82,2025-06-27,11
2021-04-20,Rent17,PROD27,STC22,22,2025-07-12,19
2019-02-17,Rent18,PROD20,STC17,17,2025-11-01,16
2024-09-08,Rent19,PROD46,STC75,75,2026-02-10,13
2021-09-14,Rent20,PROD30,STC39,39,2025-06-09,7
2019-03-28,Rent21,PROD10,STC37,37,2026-02-28,13
2026-05-25,Rent22,PROD43,STC13,13,2026-04-20,18
2020-05-11,Rent23,PROD35,STC43,43,2025-03-14,10
2022-03-18,Rent24,PROD13,STC37,37,2025-10-31,11
2019-07-29,Rent25,PROD25,STC93,93,2025-10-28,13
2018-10-29,Rent26,PROD10,STC89,89,2024-11-04,20
2021-11-03,Rent27,PROD27,STC16,16,2025-03-07,17
2019-05-04,Rent28,PROD14,STC66,66,2026-03-07,13
2021-11-04,Rent29,PROD33,STC22,22,2025-08-31,13
2019-03-29,Rent30,PROD38,STC97,97,2025-03-05,6
2026-06-21,Rent31,PROD40,STC35,35,2026-06-08,20
2021-11-04,Rent32,PROD22,STC90,90,2024-10-26,17
2024-07-31,Rent33,PROD36,STC68,68,2026-05-10,3
2026-03-01,Rent34,PROD24,STC83,83,2024-10-18,14
2026-06-05,Rent35,PROD32,STC31,31,2026-02-05,11
2023-07-17,Rent36,PROD30,STC100,0,2025-01-15,7
2024-08-18,Rent37,PROD12,STC30,30,2026-03-15,4
2024-03-31,Rent38,PROD13,STC26,26,2026-05-09,18
2022-01-16,Rent39,PROD30,STC22,22,2026-05-31,7
2023-01-27,Rent40,PROD15,STC71,71,2026-08-07,19
2024-07-25,Rent41,PROD14,STC82,82,2025-07-28,16
2023-07-31,Rent42,PROD43,STC52,52,2025-03-08,5
2024-08-29,Rent43,PROD47,STC23,23,2024-10-22,10
2019-07-25,Rent44,PROD25,STC50,50,2026-02-04,12
2020-05-10,Rent45,PROD10,STC52,52,2026-03-17,14
2018-05-14,Rent46,PROD29,STC57,57,2025-11-12,11
2023-01-13,Rent47,PROD39,STC36,36,2026-01-05,3
2017-11-28,Rent48,PROD42,STC35,35,2025-09-05,11
2020-12-19,Rent49,PROD46,STC69,69,2024-11-19,6
2022-07-24,Rent50,PROD43,STC55,55,2026-07-14,6
2025-09-20,Rent51,PROD35,STC73,73,2025-03-28,10
2017-10-10,Rent52,PROD39,STC25,25,2024-10-03,10
2023-06-01,Rent53,PROD22,STC98,98,2026-06-03,18
2022-08-14,Rent54,PROD47,STC75,75,2026-03-16,4
2025-03-23,Rent55,PROD45,STC41,41,2025-02-10,7
2020-01-10,Rent56,PROD45,STC83,83,2025-10-28,12
2020-06-19,Rent57,PROD13,STC78,78,2026-03-28,17
2018-05-08,Rent58,PROD48,STC55,55,2025-05-21,13
2017-01-01,Rent59,PROD43,STC22,22,2026-03-20,10
2017-07-30,Rent60,PROD35,STC56,56,2025-11-11,13
2019-11-25,Rent61,PROD15,STC16,16,2024-12-13,8
2018-07-29,Rent62,PROD47,STC74,74,2025-06-05,4
2017-06-27,Rent63,PROD15,STC94,94,2026-01-21,5
2018-11-03,Rent64,PROD25,STC86,86,2025-01-10,11
2024-12-29,Rent65,PROD43,STC80,80,2026-08-17,1
2024-08-02,Rent66,PROD13,STC32,32,2026-02-13,5
2023-09-06,Rent67,PROD47,STC30,30,2025-09-29,16
2024-09-20,Rent68,PROD37,STC12,12,2024-11-27,12
2026-01-07,Rent69,PROD50,STC23,23,2024-10-06,2
2025-08-30,Rent70,PROD39,STC43,43,2025-12-28,1
2024-04-17,Rent71,PROD34,STC72,72,2026-07-08,15
2023-09-30,Rent72,PROD29,STC22,22,2026-04-03,1
2024-11-04,Rent73,PROD17,STC83,83,2025-01-23,19
2019-12-11,Rent74,PROD37,STC15,15,2025-11-28,12
2021-06-01,Rent75,PROD45,STC22,22,2025-07-09,11
2024-06-14,Rent76,PROD15,STC66,66,2025-10-14,11
2024-08-02,Rent77,PROD46,STC11,11,2025-02-07,13
2023-03-07,Rent78,PROD21,STC65,65,2024-12-12,16
2023-08-20,Rent79,PROD26,STC23,23,2025-08-19,7
2021-03-25,Rent80,PROD14,STC75,75,2025-12-02,14
2021-03-07,Rent81,PROD16,STC17,17,2024-09-01,2
2020-08-24,Rent82,PROD48,STC52,52,2024-11-27,5
2022-09-16,Rent83,PROD13,STC53,53,2026-05-23,10
2023-08-14,Rent84,PROD25,STC55,55,2025-07-24,18
2019-12-11,Rent85,PROD32,STC18,18,2025-06-04,1
2020-06-29,Rent86,PROD42,STC87,87,2025-07-30,1
2022-12-09,Rent87,PROD42,STC30,30,2026-03-17,6
2020-09-26,Rent88,PROD12,STC50,50,2026-04-30,11
2023-08-14,Rent89,PROD39,STC99,99,2026-03-21,7
2022-05-24,Rent90,PROD27,STC57,57,2026-06-05,11
2019-08-05,Rent91,PROD28,STC94,94,2025-11-06,13
2022-06-24,Rent92,PROD26,STC72,72,2025-03-26,12
2026-02-17,Rent93,PROD23,STC98,98,2024-10-22,2
2018-04-30,Rent94,PROD13,STC91,91,2025-11-30,20
2022-11-03,Rent95,PROD14,STC11,11,2024-08-31,15
2022-09-10,Rent96,PROD47,STC48,48,2025-08-25,3
2019-11-13,Rent97,PROD39,STC25,25,2025-10-11,11
2017-07-31,Rent98,PROD28,STC39,39,2024-09-24,12
2018-06-11,Rent99,PROD40,STC75,75,2026-07-14,5
2021-10-21,Rent100,PROD20,STC42,42,2025-09-23,11
2024-10-03,Rent101,PROD49,STC60,60,2025-01-03,12
2024-01-01,Rent102,PROD19,STC14,14,2026-06-10,12
2022-07-28,Rent103,PROD31,STC58,58,2025-10-28,11
2022-02-27,Rent104,PROD41,STC22,22,2024-12-31,15
2026-02-04,Rent105,PROD12,STC16,16,2026-05-02,1
2019-06-14,Rent106,PROD31,STC19,19,2024-08-20,8
2019-07-11,Rent107,PROD18,STC61,61,2026-01-16,9
2021-03-29,Rent108,PROD38,STC64,64,2024-08-30,6
2025-03-09,Rent109,PROD21,STC100,0,2026-02-05,14
2019-01-13,Rent110,PROD23,STC55,55,2025-07-29,16
2025-02-21,Rent111,PROD42,STC83,83,2025-04-01,7
2024-03-27,Rent112,PROD39,STC49,49,2025-09-03,3
2022-02-12,Rent113,PROD24,STC78,78,2024-09-06,4
2026-04-06,Rent114,PROD39,STC48,48,2025-09-26,1
2023-04-02,Rent115,PROD48,STC52,52,2025-02-08,13
2018-11-18,Rent116,PROD48,STC81,81,2025-01-12,9
2023-09-30,Rent117,PROD15,STC20,20,2025-06-15,2
2022-03-21,Rent118,PROD20,STC25,25,2025-01-24,13
2022-01-21,Rent119,PROD23,STC65,65,2026-03-06,14
2024-05-18,Rent120,PROD30,STC93,93,2025-10-17,5
2024-08-11,Rent121,PROD15,STC29,29,2026-01-13,13
2017-04-14,Rent122,PROD35,STC38,38,2025-04-28,6
2021-08-12,Rent123,PROD38,STC73,73,2024-11-26,5
2020-03-07,Rent124,PROD34,STC91,91,2024-09-10,18
2024-02-09,Rent125,PROD10,STC48,48,2025-02-27,7
2023-05-12,Rent126,PROD14,STC99,99,2024-12-21,8
2022-04-06,Rent127,PROD32,STC28,28,2025-11-13,10
2020-02-20,Rent128,PROD38,STC60,60,2026-04-05,9
2022-06-05,Rent129,PROD21,STC57,57,2025-02-12,11
2018-09-01,Rent130,PROD16,STC56,56,2026-04-13,10
2021-10-05,Rent131,PROD20,STC77,77,2025-10-22,15
2017-09-22,Rent132,PROD13,STC80,80,2025-11-24,1
2024-04-21,Rent133,PROD41,STC67,67,2026-07-19,17
2020-08-04,Rent134,PROD14,STC67,67,2025-04-10,20
2026-05-26,Rent135,PROD46,STC22,22,2025-04-16,11
2023-03-18,Rent136,PROD42,STC75,75,2024-09-23,6
2022-11-12,Rent137,PROD42,STC20,20,2025-10-17,1
2019-03-16,Rent138,PROD50,STC55,55,2026-07-20,4
2026-04-08,Rent139,PROD25,STC30,30,2026-02-02,3
